O,1,3106883.802 ,17521961.997 ,28
M,1,3106210.068 ,17521662.516 ,85
O,2,3106804.254 ,17522751.042 ,28
O,3,3107296.248 ,17523442.355 ,28
O,4,3108691.787 ,17523425.309 ,28
M,2,3110545.249 ,17525910.709 ,85
N,1,3093078.878 ,17517093.467 ,58
K,1,3093190.283 ,17516053.631 ,66
N,2,3093117.667 ,17515849.362 ,58
N,3,3094004.341 ,17514735.710 ,58
N,4,3094150.919 ,17515733.789 ,58
K,2,3094440.934 ,17516881.041 ,66
N,5,3093983.726 ,17514238.751 ,58
N,6,3093435.732 ,17517236.176 ,58
K,3,3094303.186 ,17515690.428 ,66
K,4,3095235.075 ,17516222.869 ,66
K,5,3095660.291 ,17516131.806 ,66
N,7,3094939.380 ,17514044.528 ,58
K,6,3095487.477 ,17518574.689 ,66
N,8,3095343.291 ,17517352.614 ,58
N,9,3093748.031 ,17517901.605 ,58
K,7,3095335.223 ,17519616.775 ,66
N,10,3095838.452 ,17513519.314 ,58
K,8,3095110.262 ,17518170.053 ,66
N,11,3095732.093 ,17523273.526 ,58
K,9,3095413.082 ,17522028.229 ,66
K,10,3095568.545 ,17519779.371 ,66
N,12,3095580.339 ,17513490.624 ,58
N,13,3095475.228 ,17514870.684 ,58
K,11,3095314.080 ,17521095.543 ,66
N,14,3095929.333 ,17513823.651 ,58
N,15,3095775.899 ,17517282.927 ,58
K,12,3095832.501 ,17517222.489 ,66
K,13,3096536.258 ,17524045.806 ,66
K,14,3095728.813 ,17518420.584 ,66
K,15,3095640.728 ,17516027.755 ,66
N,16,3095078.348 ,17515158.203 ,58
K,16,3096581.917 ,17519725.043 ,66
K,17,3095548.581 ,17515648.179 ,66
K,18,3095539.542 ,17522202.161 ,66
K,19,3096717.658 ,17522579.733 ,66
K,20,3096870.276 ,17520591.306 ,66
N,17,3096772.521 ,17513485.402 ,58
K,21,3096701.948 ,17521507.588 ,66
K,22,3096978.844 ,17515073.361 ,66
N,18,3097428.825 ,17514819.905 ,58
K,23,3097659.870 ,17520434.447 ,66
N,19,3097825.621 ,17514363.140 ,58
N,20,3097665.204 ,17512647.269 ,58
K,24,3096684.298 ,17517450.999 ,66
K,25,3096699.347 ,17518629.354 ,66
L,1,3097755.781 ,17523562.285 ,21
K,26,3097348.469 ,17520524.688 ,66
K,27,3097384.087 ,17520369.287 ,66
K,28,3097832.914 ,17518221.034 ,66
K,29,3097577.118 ,17516933.049 ,66
K,30,3097417.904 ,17521440.027 ,66
K,31,3097725.816 ,17517137.321 ,66
K,32,3097455.085 ,17522346.902 ,66
N,21,3097311.967 ,17513904.404 ,58
K,33,3097397.695 ,17521813.074 ,66
K,34,3096950.034 ,17516729.440 ,66
L,2,3096903.611 ,17522807.742 ,21
K,35,3097938.781 ,17520106.283 ,66
K,36,3097245.731 ,17515790.092 ,66
K,37,3097885.406 ,17515215.719 ,66
K,38,3098371.683 ,17513188.900 ,66
L,3,3098587.843 ,17521545.983 ,21
K,39,3098404.699 ,17514271.410 ,66
N,22,3096990.252 ,17512483.134 ,58
L,4,3098542.492 ,17517290.780 ,21
K,40,3098643.379 ,17520218.412 ,66
K,41,3098707.446 ,17520573.101 ,66
L,5,3099019.877 ,17516059.388 ,21
L,6,3099476.642 ,17522927.008 ,21
N,23,3099461.811 ,17514108.311 ,58
L,7,3098717.713 ,17522397.917 ,21
N,24,3098871.815 ,17514000.961 ,58
K,42,3098551.250 ,17515805.581 ,66
L,8,3098799.590 ,17520577.503 ,21
L,9,3099425.455 ,17516658.240 ,21
L,10,3099198.942 ,17517441.263 ,21
L,11,3099126.708 ,17521162.382 ,21
L,12,3099016.695 ,17518671.010 ,21
O,5,3099538.739 ,17529817.336 ,28
K,43,3099352.594 ,17515739.930 ,66
Q,1,3098616.533 ,17518933.175 ,74
N,25,3099906.819 ,17514672.639 ,58
L,13,3098868.382 ,17518993.013 ,21
